elapsed_seconds,client_id,latency_ms
4380.02,2,19.134
4380.02,3,19.454
4380.02,4,18.123
4395.012,1,11.725
4395.012,2,11.322
4395.012,3,11.443
4395.012,4,11.746
4410.013,1,1.166
4410.013,2,0.856
4410.013,3,12.025
4410.013,4,0.44
4425.002,1,1.056
4425.002,2,0.97
4425.002,3,0.702
4425.002,4,0.5
4440.002,1,1.095
4440.002,2,0.921
4440.002,3,0.934
4440.002,4,0.939
4455.016,1,0.897
4455.016,2,14.693
4455.016,3,14.478
4455.016,4,14.449
4470.002,1,0.953
4470.002,2,0.765
4470.002,3,0.982
4470.002,4,0.899
4485.016,1,0.938
4485.016,2,1.417
4485.016,3,1.009
4485.016,4,0.456
4500.003,1,1.073
4500.003,2,0.782
4500.003,3,1.453
4500.003,4,0.639
4515.002,1,1.408
4515.002,2,1.125
4515.002,3,1.104
4515.002,4,0.582
4530.002,1,0.912
4530.002,2,0.674
4530.002,3,0.953
4530.002,4,0.668
4545.021,1,1.139
4545.021,2,0.843
4545.021,3,0.784
4545.021,4,20.208
4560.018,1,0.989
4560.018,2,1.005
4560.018,3,17.226
4560.018,4,0.625
4575.013,1,12.74
4575.013,2,12.455
4575.013,3,0.611
4575.013,4,12.189
4590.018,1,17.079
4590.018,2,1.0
4590.018,3,0.712
4590.018,4,16.457
4605.002,1,1.406
4605.002,2,0.859
4605.002,3,1.299
4605.002,4,1.296
4620.002,1,0.959
4620.002,2,1.066
4620.002,3,0.751
4620.002,4,0.876
4635.014,1,13.184
4635.014,2,12.866
4635.014,3,12.985
4635.014,4,0.589
4650.024,1,0.825
4650.024,2,23.365
4650.024,3,22.655
4650.024,4,0.517
4665.003,1,1.016
4665.003,2,0.711
4665.003,3,0.936
4665.003,4,0.504
4680.027,1,0.994
4680.027,2,0.946
4680.027,3,0.536
4680.027,4,25.395
4695.002,1,0.962
4695.002,2,0.949
4695.002,3,0.815
4695.002,4,0.587
4710.012,1,0.953
4710.012,2,10.843
4710.012,3,0.784
4710.012,4,0.476
4725.002,1,1.081
4725.002,2,0.741
4725.002,3,0.721
4725.002,4,0.457
4740.017,1,16.028
4740.017,2,15.443
4740.017,3,15.422
4740.017,4,15.351
4755.002,1,0.866
4755.002,2,0.983
4755.002,3,1.184
4755.002,4,0.889
4770.003,1,1.194
4770.003,2,0.848
4770.003,3,0.857
4770.003,4,1.284
4785.018,1,16.869
4785.018,2,16.616
4785.018,3,0.467
4785.018,4,0.925
4800.024,1,23.263
4800.024,2,0.674
4800.024,3,22.892
4800.024,4,0.482
4815.002,1,0.94
4815.002,2,0.93
